recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1306,50,1170,1341,0,3817
1289,55,1132,1234,0,3655
1265,68,1176,1375,0,3816
1306,64,1150,1184,1,3640
1311,65,1176,1422,0,3909
1292,48,1154,1199,0,3645
1289,52,1146,1140,1,3575
1306,74,1250,1705,0,4261
1291,68,1208,1455,0,3954
1274,66,1176,1398,2,3848
1312,69,1156,1436,1,3904
1292,77,1216,1593,0,4101
1286,62,1164,1327,0,3777
1336,59,1200,1431,0,3967
1287,55,1128,1073,0,3488
1304,62,1158,1200,0,3662
1286,72,1172,1488,0,3946
1296,51,1156,1128,0,3580
1311,67,1192,1473,0,3976
1309,59,1152,1294,0,3755
1334,51,1154,1269,0,3757
1306,79,1228,1628,1,4162
1312,62,1142,1233,0,3687
1311,72,1158,1390,1,3859
1331,68,1242,1574,0,4147
1304,75,1190,1489,0,3983
1273,71,1210,1522,0,4005
1290,66,1170,1361,0,3821
1305,47,1166,1166,0,3637
1281,66,1218,1479,0,3978
1299,58,1176,1483,0,3958
1322,73,1224,1504,0,4050
1292,68,1192,1348,0,3832
1305,63,1190,1460,0,3955
1270,58,1170,1295,1,3735
1327,57,1234,1546,0,4107
1296,65,1182,1449,1,3927
1326,60,1160,1341,0,3827
1309,59,1188,1380,0,3877
1306,54,1140,1186,0,3632
1308,54,1186,1338,0,3832
1323,60,1210,1530,0,4063
1277,79,1200,1548,1,4025
1280,60,1160,1285,0,3725
1299,62,1184,1407,0,3890
1317,60,1192,1520,0,4029
1287,70,1250,1612,0,4149
1296,60,1166,1267,0,3729
1292,52,1218,1290,0,3800
1292,61,1158,1287,0,3737
1303,58,1272,1610,0,4185
1314,72,1230,1578,0,4122
1283,54,1114,1072,0,3469
1298,59,1190,1401,0,3889
1311,63,1230,1580,0,4121
1296,73,1168,1399,0,3863
1281,63,1122,1248,0,3651
1307,61,1166,1235,0,3708
1294,61,1166,1388,0,3848
1295,67,1236,1592,1,4123
1298,57,1230,1548,0,4076
1310,58,1184,1422,0,3916
1293,68,1202,1542,0,4037
1288,53,1162,1305,0,3755
1314,61,1200,1452,0,3966
1304,69,1158,1324,0,3786
1313,44,1106,1017,0,3436
1324,61,1222,1557,1,4103
1302,66,1176,1422,0,3900
1282,73,1170,1290,0,3742
1303,81,1198,1559,1,4060
1289,68,1192,1401,0,3882
1279,77,1228,1587,0,4094
1304,46,1128,1208,0,3640
1295,67,1120,1245,0,3660
1301,75,1220,1652,0,4173
1307,59,1246,1512,0,4065
1323,75,1134,1336,0,3793
1278,60,1166,1254,0,3698
1304,63,1196,1398,0,3898
1305,66,1196,1367,1,3868
1267,66,1210,1340,0,3817
1302,52,1216,1364,0,3882
1305,53,1154,1190,1,3649
1314,59,1166,1280,0,3760
1328,64,1184,1332,1,3844
1280,47,1162,1215,0,3657
1308,52,1244,1517,0,4069
1273,50,1098,1013,0,3384
1305,68,1204,1471,0,3980
1300,56,1144,1208,0,3652
1282,53,1136,1075,0,3493
1304,60,1204,1380,0,3888
1282,63,1170,1289,0,3741
1285,75,1238,1553,1,4076
1284,68,1122,1284,0,3690
1301,67,1204,1545,0,4050
1306,79,1196,1477,0,3979
1302,68,1266,1684,0,4252
1299,62,1162,1185,0,3646
1290,65,1158,1383,0,3831
1293,55,1132,1239,1,3664
1292,69,1220,1451,0,3963
1287,66,1186,1399,0,3872
1312,61,1144,1277,0,3733
1306,65,1172,1266,0,3744
1287,73,1164,1402,0,3853
1293,48,1156,1262,0,3711
1291,64,1192,1329,0,3812
1301,56,1218,1406,0,3925
1296,54,1170,1215,0,3681
1288,68,1182,1325,0,3795
