recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1304,7,256,87,0,1647
1302,6,256,58,1,1616
1317,8,256,104,0,1677
1313,5,256,77,1,1646
1294,4,256,46,0,1596
1300,6,256,59,2,1615
1322,5,256,63,0,1641
1292,7,256,79,1,1627
1324,4,256,51,0,1631
1330,8,256,94,1,1680
1300,6,256,76,0,1632
1302,17,256,202,3,1760
1309,9,256,129,0,1694
1333,4,256,39,0,1628
1323,11,256,114,1,1693
1284,6,256,61,1,1601
1320,3,256,71,0,1647
1318,7,256,96,1,1670
1312,3,256,28,1,1596
1301,7,256,71,2,1628
1316,9,256,76,2,1648
1312,10,256,123,0,1691
1314,6,256,72,0,1642
1320,8,256,112,0,1688
1315,5,256,64,0,1635
1311,6,256,83,0,1650
1307,6,256,86,1,1649
1315,12,256,141,1,1712
1323,2,256,20,0,1599
1294,9,256,112,0,1662
1306,4,256,45,0,1607
1306,3,256,48,0,1610
1312,7,256,86,1,1654
1306,8,256,87,1,1649
1315,6,256,62,0,1633
1275,7,256,92,0,1623
1334,8,256,107,1,1697
1285,11,256,108,1,1649
1325,8,256,98,2,1679
1334,4,256,64,0,1654
1318,4,256,52,0,1626
1290,3,256,50,0,1596
1283,8,256,69,0,1608
1329,6,256,74,0,1659
1324,10,256,101,1,1681
1311,6,256,113,1,1680
1304,3,256,47,0,1607
1296,7,256,85,0,1637
1302,8,256,85,0,1643
1303,7,256,93,0,1652
1341,6,256,71,1,1668
1309,9,256,108,0,1673
1318,11,256,102,2,1676
1299,5,256,48,1,1603
1308,5,256,60,0,1624
1301,7,256,76,0,1633
1297,5,256,59,0,1612
1296,9,256,101,0,1653
1332,6,256,71,0,1659
1306,6,256,97,0,1659
1324,2,256,45,1,1625
1290,6,256,105,0,1651
1316,8,256,101,1,1673
1329,6,256,63,0,1648
1301,7,256,86,0,1643
1322,9,256,104,0,1682
1310,5,256,76,0,1642
1328,6,256,88,0,1672
1297,10,256,112,0,1665
1322,4,256,51,0,1629
1308,4,256,55,0,1619
1308,5,256,64,0,1628
1315,1,256,10,1,1581
1308,7,256,106,0,1670
1316,8,256,70,0,1642
1308,3,256,36,0,1600
1304,3,256,51,1,1611
